EventID;tEnergy(keV);IonYield
313;1189.2;0
314;1555.75;0
315;1344.68;0
316;1787.58;1
317;1363.96;1
318;1131.6;0
319;410.146;0
320;632.288;0
321;213.139;0
322;367.155;0
323;903.872;0
324;0;0
325;270.672;0
326;321.646;0
327;1693.51;0
328;507.437;0
329;2115.37;1
330;350.236;0
331;0;0
332;493.366;0
333;453.282;0
334;8647.11;0
335;601.882;0
336;178.924;0
337;1846.09;1
338;459.854;0
339;744.078;0
340;626.438;0
341;1627.57;1
342;374.304;0
343;0;0
344;1137.33;0
345;258.565;0
346;443.56;0
347;1047.89;0
348;1320.54;0
349;947.195;0
350;1830.38;1
351;709.761;0
352;368.405;0
353;1884.34;1
354;328.927;0
355;992.054;0
356;1246.12;0
357;0;0
358;458.536;0
359;991.638;0
360;935.099;0
361;3021.66;1
362;260.218;0
363;2406.62;0
364;2026.05;1
365;1651.31;0
366;3360.36;1
367;872.495;0
368;379.808;0
369;2609.77;1
370;1103.97;0
371;2086.23;1
372;378.409;0
373;335.413;0
374;397.356;0
375;414.062;0
376;683.829;0
377;1330.64;0
378;400.47;0
379;272.612;0
380;1700.2;1
381;555.637;0
382;383.006;0
383;469.08;0
384;665.797;0
385;925.025;0
386;779.518;0
387;1170.58;0
388;511.998;0
389;757.65;0
390;126.414;0
391;648.818;0
392;316.197;0
393;5081.85;2
394;1477.94;0
395;987.763;0
396;1506.48;0
397;942.45;0
398;772.352;0
399;649.08;0
400;992.45;0
401;1245.91;0
402;333.25;0
403;493.42;0
404;1134.74;0
405;249.809;0
406;641.367;0
407;659.063;0
408;4718.32;1
409;899.173;0
410;738.867;0
411;362.017;0
412;354.951;0
413;627.2;0
414;2062.82;0
415;2347.47;0
416;411.888;0
417;1658.81;0
418;141.372;0
419;832.085;0
420;465.592;0
421;830.051;0
422;305.589;0
423;1095.38;0
424;284.196;0
425;774.366;0
426;521.937;0
427;2360.36;0
428;474.588;0
429;1630.13;0
430;477.036;0
431;380.011;0
432;743.473;0
433;495.619;0
434;1252.64;0
435;271.608;0
436;938.271;0
437;335.537;0
438;483.01;0
439;472.003;0
440;897.001;0
441;447.225;0
442;107.358;0
443;674.628;0
444;1386.63;1
445;705.42;0
446;933.479;0
447;1084.37;0
448;247.114;0
449;1972.49;0
450;0;0
451;508.848;0
452;362.331;0
453;379.106;0
454;1424.37;0
455;0;0
456;437.374;0
457;553.789;0
458;736.881;0
459;331.458;0
460;675.439;0
461;692.985;0
462;0;0
463;760.971;0
464;1399.58;0
465;0;0
466;816.873;0
467;625.251;0
468;412.879;0
469;859.124;0
470;625.154;0
471;419.904;0
472;469.377;0
473;2031.06;0
474;49.2547;0
475;460.137;0
476;1488.29;0
477;1474.04;1
478;510.739;0
479;1577.22;0
480;672.474;0
481;234.129;0
482;1007.77;0
483;639.296;0
484;952.477;0
485;1086.83;0
486;1244.76;0
487;676.922;0
488;381.319;0
489;1025.4;0
490;789.946;0
491;0;0
492;602.541;0
493;1382.95;0
494;754.349;0
495;548.791;0
496;707.229;0
497;317.22;0
498;989.791;0
499;0;0
500;361.887;0
501;1255.49;0
502;1140.42;0
503;1379.57;0
504;370.71;0
505;544.25;0
506;778.113;0
507;1304.77;0
508;674.41;0
509;9101.15;0
510;0;0
511;1221.27;0
512;687.016;0
513;620.181;0
514;298.518;0
515;610.817;0
516;479.447;0
517;1470.35;0
518;643.833;0
519;739.035;0
520;2613.29;1
521;261.472;0
522;415.231;0
523;865.937;0
524;175.129;0
525;5454.62;1
526;2133.11;0
527;367.961;0
528;741.657;0
529;0;0
530;1832.65;0
531;695.903;0
532;567.841;0
533;2320.57;1
534;1806.82;0
535;1453.12;1
536;906.047;0
537;363.31;0
538;551.967;0
539;777.191;0
540;634.344;0
541;603.654;0
542;0;0
543;196.787;0
544;17334.5;1
545;627.419;0
546;430.45;0
547;427.488;0
548;509.068;0
549;892.958;0
550;456.709;0
551;528.046;0
552;589.898;0
553;783.282;0
554;595.231;0
555;651.261;0
556;292.624;0
557;1390.34;0
558;424.715;0
559;613.602;0
560;724.851;0
561;774.93;0
562;122.188;0
563;396.135;0
564;801.198;0
565;810.06;0
566;1059.61;0
567;2280.79;0
568;169.376;0
569;1724.07;1
570;425.939;0
571;281;0
572;384.926;0
573;2207.03;0
574;529.623;0
575;140.225;0
576;261.975;0
577;221.991;0
578;1175.04;0
579;636.071;0
580;311.606;0
581;660.267;0
582;457.545;0
583;2078.98;0
584;234.457;0
585;622.821;0
586;584.808;0
587;680.405;0
588;1739.14;0
589;2671.92;0
590;804.689;0
591;539.404;0
592;1233.38;0
593;0;0
594;663.833;0
595;1397.79;0
596;1763.29;0
597;4601.85;0
598;400.62;0
599;162.041;0
600;355.461;0
601;1614;0
602;871.018;0
603;592.845;0
604;974.86;0
605;828.751;0
606;489.038;0
607;667.549;0
608;764.19;0
609;392.186;0
610;837.783;0
611;498.335;0
